image_id,component_id,bbox_x,bbox_y,bbox_width,bbox_height,dataset,original_path,file_name,metadata1,metadata2,metadata3,metadata4
img_00000028,0,1273,807,1048,1052,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/311_BABARI_ID12.jpg,311_BABARI_ID12.jpg,Babari,,,
img_00000029,0,935,719,1507,1487,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/372_LOUALI_ID73.jpg,372_LOUALI_ID73.jpg,Louali,,,
img_00000030,0,1053,674,1317,1275,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/328_GENOTYPE 1_ID29.jpg,328_GENOTYPE 1_ID29.jpg,Ichmoul,,,
img_00000031,0,1322,669,1015,1148,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/386_TIZI OUININE_ID87.jpg,386_TIZI OUININE_ID87.jpg,Tizi Ouinine,,,
img_00000032,0,1064,587,1358,1453,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/375_LOUALI_ID76.jpg,375_LOUALI_ID76.jpg,Louali,,,
img_00000033,0,1371,759,867,924,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/316_BABARI_ID17.jpg,316_BABARI_ID17.jpg,Babari,,,
img_00000034,0,1125,558,1376,1482,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/351_GENOTYPE 3_ID52.jpg,351_GENOTYPE 3_ID52.jpg,Bouabane des Aures,,,
img_00000035,0,932,607,1604,1452,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/329_GENOTYPE 1_ID30.jpg,329_GENOTYPE 1_ID30.jpg,Ichmoul,,,
img_00000036,0,1096,724,1388,1355,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/332_GENOTYPE 1_ID33.jpg,332_GENOTYPE 1_ID33.jpg,Ichmoul,,,
img_00000037,0,1087,577,1397,1435,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/330_GENOTYPE 1_ID31.jpg,330_GENOTYPE 1_ID31.jpg,Ichmoul,,,
img_00000038,1,942,568,1446,1521,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/354_GENOTYPE 3_ID55.jpg,354_GENOTYPE 3_ID55.jpg,Bouabane des Aures,,,
img_00000039,0,1116,602,1525,1501,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/352_GENOTYPE 3_ID53.jpg,352_GENOTYPE 3_ID53.jpg,Bouabane des Aures,,,
img_00000040,0,919,602,1545,1369,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/331_GENOTYPE 1_ID32.jpg,331_GENOTYPE 1_ID32.jpg,Ichmoul,,,
img_00000041,0,1107,646,1338,1482,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/349_Genotype 3_ID50.jpg,349_Genotype 3_ID50.jpg,Bouabane des Aures,,,
img_00000042,0,1198,729,1055,1198,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/304_AHMEUR BOU AHMEUR_ID05.jpg,304_AHMEUR BOU AHMEUR_ID05.jpg,Ahmeur Bou Ahmeur,,,
img_00000043,0,1462,792,822,878,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/313_BABARI_ID14.jpg,313_BABARI_ID14.jpg,Babari,,,
img_00000044,0,1063,631,1404,1296,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/350_GENOTYPE 3_ID51.jpg,350_GENOTYPE 3_ID51.jpg,Bouabane des Aures,,,
img_00000045,0,1185,392,1238,1521,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/381_TIZI OUININE_ID82.jpg,381_TIZI OUININE_ID82.jpg,Tizi Ouinine,,,
img_00000046,0,946,523,1477,1538,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/369_LOUALI_ID70.jpg,369_LOUALI_ID70.jpg,Louali,,,
img_00000047,0,1061,666,1284,1217,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/303_AHMEUR BOU AHMEUR_ID04.jpg,303_AHMEUR BOU AHMEUR_ID04.jpg,Ahmeur Bou Ahmeur,,,
img_00000048,1,983,793,1391,1227,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/370_LOUALI_ID71.jpg,370_LOUALI_ID71.jpg,Louali,,,
img_00000049,0,1334,827,749,758,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/314_BABARI_ID15.jpg,314_BABARI_ID15.jpg,Babari,,,
img_00000050,2,1228,788,1091,963,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/383_TIZI OUININE_ID84.jpg,383_TIZI OUININE_ID84.jpg,Tizi Ouinine,,,
img_00000051,0,381,558,1734,2182,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/366_LOUALI_ID67.jpg,366_LOUALI_ID67.jpg,Louali,,,
img_00000052,0,1191,690,1103,1061,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/338_GENOTYPE 2_ID39.jpg,338_GENOTYPE 2_ID39.jpg,Ichmoul Bacha,,,
img_00000053,0,1226,743,1030,1010,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/377_TIZI OUININE_ID78.jpg,377_TIZI OUININE_ID78.jpg,Tizi Ouinine,,,
img_00000054,0,1050,729,1403,1360,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/353_GENOTYPE 3_ID54.jpg,353_GENOTYPE 3_ID54.jpg,Bouabane des Aures,,,
img_00000055,0,1171,700,1157,1007,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/319_BABARI_ID20.jpg,319_BABARI_ID20.jpg,Babari,,,
img_00000056,0,1174,602,1145,1223,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/307_AHMEU BOU AHMEUR_ID08.jpg,307_AHMEU BOU AHMEUR_ID08.jpg,,,,
img_00000057,0,1327,626,1150,1037,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/337_GENOTYPE 2_ID38.jpg,337_GENOTYPE 2_ID38.jpg,Ichmoul Bacha,,,
img_00000058,0,937,671,1433,1320,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/323_GENOTYPE 1_ID24.jpg,323_GENOTYPE 1_ID24.jpg,Ichmoul,,,
img_00000059,0,1308,715,988,895,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/385_TIZI OUININE_ID86.jpg,385_TIZI OUININE_ID86.jpg,Tizi Ouinine,,,
img_00000060,0,1341,666,1102,1056,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/312_BABARI_ID13.jpg,312_BABARI_ID13.jpg,Babari,,,
img_00000061,0,996,680,1562,1467,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/371_LOUALI_ID72.jpg,371_LOUALI_ID72.jpg,Louali,,,
img_00000062,1,840,744,1552,1565,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/376_LOUALI_ID77.jpg,376_LOUALI_ID77.jpg,Louali,,,
img_00000062,2,1653,304,102,127,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/376_LOUALI_ID77.jpg,376_LOUALI_ID77.jpg,Louali,,,
img_00000063,0,1326,782,856,815,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/315_BABARI_ID16.jpg,315_BABARI_ID16.jpg,Babari,,,
img_00000064,1,338,1170,1873,1842,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/363_GENOTYPE 4_ID64.jpg,363_GENOTYPE 4_ID64.jpg,Amer Bouamar,,,
img_00000065,1,1319,597,1156,1135,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/343_GENOTYPE 2_ID44.jpg,343_GENOTYPE 2_ID44.jpg,Ichmoul Bacha,,,
img_00000066,0,1055,494,1368,1372,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/344_GENOTYPE 3_ID45.jpg,344_GENOTYPE 3_ID45.jpg,Bouabane des Aures,,,
img_00000067,0,1000,563,1339,1408,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/305_AHMEUR BOU AHMEUR_ID06.jpg,305_AHMEUR BOU AHMEUR_ID06.jpg,Ahmeur Bou Ahmeur,,,
img_00000068,0,480,1288,1491,1512,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/356_GENOTYPE 4_ID57.jpg,356_GENOTYPE 4_ID57.jpg,Amer Bouamar,,,
img_00000069,0,381,983,1592,1815,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/364_GENOTYPE 4_ID65.jpg,364_GENOTYPE 4_ID65.jpg,Amer Bouamar,,,
img_00000070,0,1307,685,769,832,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/341_GENOTYPE 2_ID42.jpg,341_GENOTYPE 2_ID42.jpg,Ichmoul Bacha,,,
img_00000071,0,1019,563,1358,1306,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/322_GENOTYPE 1_ID23.jpg,322_GENOTYPE 1_ID23.jpg,Ichmoul,,,
img_00000072,0,951,578,1595,1496,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/325_GENOTYPE 1_ID26.jpg,325_GENOTYPE 1_ID26.jpg,Ichmoul,,,
img_00000073,0,1085,891,1275,1286,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/361_GENOTYPE 4_ID62.jpg,361_GENOTYPE 4_ID62.jpg,Amer Bouamar,,,
img_00000074,0,1137,485,1259,1511,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/302_AHMEUR BOU AHMEUR_ID03.jpg,302_AHMEUR BOU AHMEUR_ID03.jpg,Ahmeur Bou Ahmeur,,,
img_00000075,0,1375,749,946,880,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/318_BABARI_ID19.jpg,318_BABARI_ID19.jpg,Babari,,,
img_00000076,0,1227,876,1103,1154,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/360_GENOTYPE 4_ID61.jpg,360_GENOTYPE 4_ID61.jpg,Amer Bouamar,,,
img_00000077,0,853,768,1480,1482,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/355_GENOTYPE 4_ID56.jpg,355_GENOTYPE 4_ID56.jpg,Amer Bouamar,,,
img_00000078,1,1406,754,767,767,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/340_GENOTYPE 2_ID41.jpg,340_GENOTYPE 2_ID41.jpg,Ichmoul Bacha,,,
img_00000079,0,1450,842,1170,1090,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/379_TIZI OUININE_ID80.jpg,379_TIZI OUININE_ID80.jpg,Tizi Ouinine,,,
img_00000080,0,396,827,1626,2045,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/362_GENOTYPE 4_ID63.jpg,362_GENOTYPE 4_ID63.jpg,Amer Bouamar,,,
img_00000081,0,543,1639,1262,1332,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/365_GENOTYPE 4_ID66.jpg,365_GENOTYPE 4_ID66.jpg,Amer Bouamar,,,
img_00000082,0,1092,592,1480,1595,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/345_GENOTYPE 3_ID46.jpg,345_GENOTYPE 3_ID46.jpg,Bouabane des Aures,,,
img_00000083,0,1220,587,1097,1174,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/342_GENOTYPE 2_ID43.jpg,342_GENOTYPE 2_ID43.jpg,Ichmoul Bacha,,,
img_00000084,0,845,553,1561,1506,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/326_GENOTYPE 1_ID27.jpg,326_GENOTYPE 1_ID27.jpg,Ichmoul,,,
img_00000085,0,1239,754,789,870,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/317_BABARI_ID18.jpg,317_BABARI_ID18.jpg,Babari,,,
img_00000086,0,1034,666,1189,1291,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/309_AHMEUR BOU AHMEUR_ID10.jpg,309_AHMEUR BOU AHMEUR_ID10.jpg,Ahmeur Bou Ahmeur,,,
img_00000087,0,979,690,1251,1179,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_28.jpg,ICHMOUL_ab_28.jpg,Ichmoul,abaxial,,
img_00000088,0,1096,724,1388,1355,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_14.jpg,ICHMOUL_ab_14.jpg,Ichmoul,abaxial,,
img_00000089,0,845,553,1561,1506,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_15.jpg,ICHMOUL_ab_15.jpg,Ichmoul,abaxial,,
img_00000090,0,1053,674,1317,1275,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_29.jpg,ICHMOUL_ab_29.jpg,Ichmoul,abaxial,,
img_00000091,0,938,538,1455,1507,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_17.jpg,ICHMOUL_ab_17.jpg,Ichmoul,abaxial,,
img_00000092,0,937,671,1433,1320,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_16.jpg,ICHMOUL_ab_16.jpg,Ichmoul,abaxial,,
img_00000093,0,956,617,1503,1433,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_8.jpg,ICHMOUL_ab_8.jpg,Ichmoul,abaxial,,
img_00000094,0,1350,806,990,991,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_12.jpg,ICHMOUL_ab_12.jpg,Ichmoul,abaxial,,
img_00000095,0,962,705,1310,1262,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_13.jpg,ICHMOUL_ab_13.jpg,Ichmoul,abaxial,,
img_00000096,0,1019,563,1358,1306,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_9.jpg,ICHMOUL_ab_9.jpg,Ichmoul,abaxial,,
img_00000097,0,1100,695,1474,1389,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_11.jpg,ICHMOUL_ab_11.jpg,Ichmoul,abaxial,,
img_00000098,0,1087,577,1397,1435,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_10.jpg,ICHMOUL_ab_10.jpg,Ichmoul,abaxial,,
img_00000099,0,911,475,1706,1555,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_7.jpg,ICHMOUL_ab_7.jpg,Ichmoul,abaxial,,
img_00000100,0,968,680,1553,1370,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_21.jpg,ICHMOUL_ab_21.jpg,Ichmoul,abaxial,,
img_00000101,0,1263,816,1168,1064,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_20.jpg,ICHMOUL_ab_20.jpg,Ichmoul,abaxial,,
img_00000102,0,1165,798,1199,1090,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_6.jpg,ICHMOUL_ab_6.jpg,Ichmoul,abaxial,,
img_00000103,0,1161,787,1087,1074,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_4.jpg,ICHMOUL_ab_4.jpg,Ichmoul,abaxial,,
img_00000104,0,932,607,1604,1452,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_22.jpg,ICHMOUL_ab_22.jpg,Ichmoul,abaxial,,
img_00000105,0,895,645,1510,1323,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_23.jpg,ICHMOUL_ab_23.jpg,Ichmoul,abaxial,,
img_00000106,0,896,538,1749,1596,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_5.jpg,ICHMOUL_ab_5.jpg,Ichmoul,abaxial,,
img_00000107,0,919,602,1545,1369,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_1.jpg,ICHMOUL_ab_1.jpg,Ichmoul,abaxial,,
img_00000108,0,992,641,1398,1296,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_27.jpg,ICHMOUL_ab_27.jpg,Ichmoul,abaxial,,
img_00000109,0,988,631,1533,1316,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_26.jpg,ICHMOUL_ab_26.jpg,Ichmoul,abaxial,,
img_00000110,0,948,715,1407,1310,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_2.jpg,ICHMOUL_ab_2.jpg,Ichmoul,abaxial,,
img_00000111,0,1050,718,1369,1314,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_24.jpg,ICHMOUL_ab_24.jpg,Ichmoul,abaxial,,
img_00000112,0,441,1414,1687,1482,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_18.jpg,ICHMOUL_ab_18.jpg,Ichmoul,abaxial,,
img_00000113,0,951,578,1595,1496,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_19.jpg,ICHMOUL_ab_19.jpg,Ichmoul,abaxial,,
img_00000114,0,1309,803,1140,939,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_25.jpg,ICHMOUL_ab_25.jpg,Ichmoul,abaxial,,
img_00000115,0,1156,724,1291,1218,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ab/ICHMOUL_ab_3.jpg,ICHMOUL_ab_3.jpg,Ichmoul,abaxial,,
img_00000116,0,1115,563,1394,1467,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_8.jpg,ICHMOUL_ad_8.jpg,Ichmoul,adaxial,,
img_00000117,0,1339,783,986,973,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_9.jpg,ICHMOUL_ad_9.jpg,Ichmoul,adaxial,,
img_00000118,0,1055,578,1436,1530,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_16.jpg,ICHMOUL_ad_16.jpg,Ichmoul,adaxial,,
img_00000119,0,796,446,1753,1511,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_17.jpg,ICHMOUL_ad_17.jpg,Ichmoul,adaxial,,
img_00000120,0,1005,436,1562,1619,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_29.jpg,ICHMOUL_ad_29.jpg,Ichmoul,adaxial,,
img_00000121,0,1048,671,1368,1330,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_15.jpg,ICHMOUL_ad_15.jpg,Ichmoul,adaxial,,
img_00000122,0,1088,704,1319,1255,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_14.jpg,ICHMOUL_ad_14.jpg,Ichmoul,adaxial,,
img_00000123,0,926,543,1606,1590,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_28.jpg,ICHMOUL_ad_28.jpg,Ichmoul,adaxial,,
img_00000124,0,976,607,1555,1379,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_10.jpg,ICHMOUL_ad_10.jpg,Ichmoul,adaxial,,
img_00000125,0,656,979,1281,1550,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_11.jpg,ICHMOUL_ad_11.jpg,Ichmoul,adaxial,,
img_00000126,1,871,607,1607,1452,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_13.jpg,ICHMOUL_ad_13.jpg,Ichmoul,adaxial,,
img_00000127,0,1272,822,1189,1042,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_12.jpg,ICHMOUL_ad_12.jpg,Ichmoul,adaxial,,
img_00000128,0,1100,503,1358,1265,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_23.jpg,ICHMOUL_ad_23.jpg,Ichmoul,adaxial,,
img_00000129,0,1047,587,1332,1223,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_22.jpg,ICHMOUL_ad_22.jpg,Ichmoul,adaxial,,
img_00000130,0,1032,690,1345,1291,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_20.jpg,ICHMOUL_ad_20.jpg,Ichmoul,adaxial,,
img_00000131,0,1122,749,1176,1061,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_21.jpg,ICHMOUL_ad_21.jpg,Ichmoul,adaxial,,
img_00000132,0,464,1543,1685,1469,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_25.jpg,ICHMOUL_ad_25.jpg,Ichmoul,adaxial,,
img_00000133,0,1066,674,1426,1289,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_19.jpg,ICHMOUL_ad_19.jpg,Ichmoul,adaxial,,
img_00000134,0,1063,490,1475,1384,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_18.jpg,ICHMOUL_ad_18.jpg,Ichmoul,adaxial,,
img_00000135,0,1069,669,1442,1333,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_24.jpg,ICHMOUL_ad_24.jpg,Ichmoul,adaxial,,
img_00000136,0,1099,695,1322,1272,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_26.jpg,ICHMOUL_ad_26.jpg,Ichmoul,adaxial,,
img_00000137,0,1164,538,1495,1438,ALGERIA,ALGERIA/SECOND_BATCH/ICHMOUL_ad/ICHMOUL_ad_27.jpg,ICHMOUL_ad_27.jpg,Ichmoul,adaxial,,
